"Etunimi","Sukupuoli"
"Abdisalaan","mies"
"Abdisalam","mies"
"Abdisalam","nainen"
"Abdisalan","mies"
"Abdisalan","nainen"
"Abdisamad","mies"
"Abdisamed","mies"
"Abdishakur","mies"
"Abdishakur","nainen"
"Abdishakuur","mies"
"Abdiwahaab","mies"
"Abdiwahaab","nainen"
"Abdiwahab","mies"
"Abdiwahab","nainen"
"Abdiwahid","mies"
"Abdiwahid","nainen"
"Abdiwali","mies"
"Abdiwali","nainen"
"Abdiweli","mies"
"Abdiweli","nainen"
"Abdo","mies"
"Abdol","mies"
"Abdollah","mies"
"Abdou","mies"
"Abdoul","mies"
"Abdoulaye","mies"
"Abdoulie","mies"
"Abdu","mies"
"Abdu","nainen"
"Abdukadir","mies"
"Abdukadir","nainen"
"Abdul","mies"
"Abdul","nainen"
"Abdul-Hussain","mies"
"Abdul-Hussain","nainen"
"Abdul-Latif","mies"
"Abdul-Malik","mies"
"Abdula","mies"
"Abdulaahi","mies"
"Abdulahi","mies"
"Abdulahi","nainen"
"Abdulazeez","mies"
"Abdulaziz","mies"
"Abdulaziz","nainen"
"Abdulelah","mies"
"Abdulfatah","mies"
"Abdulgaadir","mies"
"Abdulgadir","mies"
"Abdulgadir","nainen"
"Abdulghani","mies"
"Abdulhadi","mies"
"Abdulhafedh","mies"
"Abdulhakim","mies"
"Abdulhamid","mies"
"Abdulhaq","mies"
"Abdulhussain","mies"
"Abdulhussein","mies"
"Abduljabbar","mies"
"Abduljabbar","nainen"
"Abdulkader","mies"
"Abdulkader","nainen"
"Abdulkadir","mies"
"Abdulkadir","nainen"
"Abdulkareem","mies"
"Abdulkareem","nainen"
"Abdulkarim","mies"
"Abdulkarim","nainen"
"Abdulkhaleq","mies"
"Abdulkhaliq","mies"
"Abdulla","mies"
"Abdulla","nainen"
"Abdullaahi","mies"
"Abdullaahi","nainen"
"Abdullah","mies"
"Abdullah","nainen"
"Abdullahi","mies"
"Abdullahi","nainen"
"Abdullatif","mies"
"Abdulle","mies"
"Abdulle","nainen"
"Abdulmajid","mies"
"Abdulmalik","mies"
"Abdulqader","mies"
"Abdulqader","nainen"
"Abdulqadir","mies"
"Abdulqadir","nainen"
"Abdulrahim","mies"
"Abdulrahman","mies"
"Abdulrahman","nainen"
"Abdulrazak","mies"
"Abdulrazzaq","mies"
"Abdulrazzaq","nainen"
"Abdulridha","mies"
"Abdulsalam","mies"
"Abdulsattar","mies"
"Abdulwahab","mies"
"Abdulwahid","mies"
"Abduqadir","mies"
"Abdur","mies"
"Abdurahim","mies"
"Abdurahman","mies"
"Abdurahman","nainen"
"Abdurrahim","mies"
"Abdurrahman","mies"
"Abed","mies"
"Abed","nainen"
"Abedin","mies"
"Abegail","nainen"
"Abel","mies"
"Abena","nainen"
"Abhinav","mies"
"Abhishek","mies"
"Abid","mies"
"Abid","nainen"
"Abiel","mies"
"Abigail","nainen"
"Abiodun","mies"
"Abiodun","nainen"
"Abiola","mies"
"Abiola","nainen"
"Abir","mies"
"Abir","nainen"
"Abisola","nainen"
"Abner","mies"
"Abokor","mies"
"Abolfazl","mies"
"Abou","mies"
"Abraar","nainen"
"Abraham","mies"
"Abram","mies"
"Abrami","mies"
"Abrar","mies"
"Abrar","nainen"
